Ruessel,easy item set
Rose,
Hahnenkamm,
Docht,
Storch,
Zebra,
Geweih,
Ellenbogen,
Thermometer,
Geruest,
Anker,
Sieb,
Schaukelstuhl,
Feuerloescher,
Globus,
Gitarre,
Lupe,
Hammer,
Amboss,
Schuppen,
Kompass,
Gruebchen,
Stethoskop,
Boje,
Pelikan,
Stimmgabel,intermediate item set
Sonnenuhr,
Ventilator,
Sanduhr,
Wetterhahn,
Bullauge,
Kehlkopf,
Schaedel,
Schiessscharte,
Bommel,
Klarinette,
Lama,
Wirbel,
Qualle,
Golfball,
Gorilla,
Zauberwuerfel,
Mandoline,
Ellipse,
Fuenfeck,hard item set
Krabbe,
Iris,
Skorpion,
Objektiv,
Querfloete,
Spindel,
Sextant,
Stoessel,
Wimpernzange,
Abakus,
Chamaeleon,
Metronom,
Oboe,
Fagott,
Barteln,
Seeigel,
Chinchilla,
Joch,
Petschaft,
Wetzstahl,
Ammonit,
